otherCellLine,cellLine,correlation
PR.PC_3,CNS.SNB_19,0.658231096
OV.SK_OV_3,CNS.SF_295,0.65815192
LC.A549,BR.BT_549,0.657749665
LC.HOP_92,LC.A549,0.657614993
OV.OVCAR_8,CNS.SNB_19,0.657562311
RE.TK_10,CO.HCT_15,0.657434263
ME.M14,ME.LOXIMVI,0.657187602
OV.NCI_ADR_RES,CNS.SNB_75,0.656710502
RE.SN12C,LC.NCI_H522,0.656447141
OV.OVCAR_3,CNS.U251,0.656216124
RE.A498,CO.HCT_116,0.656134227
PR.PC_3,CO.HCT_15,0.656098627
ME.M14,CNS.SF_539,0.65606747
RE.TK_10,CNS.U251,0.655643345
ME.UACC_62,CNS.U251,0.655393341
CO.HCT_15,BR.MDA_MB_231,0.655379572
LC.A549,CNS.SF_295,0.655358821
OV.IGROV1,LC.NCI_H23,0.654831692
PR.DU_145,CO.KM12,0.654657206
RE.ACHN,CNS.SNB_19,0.654651527
RE.786_0,CO.HCT_116,0.654547931
ME.M14,CNS.SNB_19,0.654300368
RE.TK_10,CNS.SNB_19,0.65413313
RE.TK_10,CNS.SF_268,0.654072248
RE.SN12C,ME.M14,0.654064923
OV.OVCAR_5,CO.COLO205,0.653885127
LC.EKVX,BR.BT_549,0.653798509
LC.NCI_H460,LC.HOP_92,0.653650509
PR.PC_3,CNS.SF_539,0.65348429
OV.OVCAR_4,CO.HT29,0.652913435
PR.PC_3,CO.HCC_2998,0.652872048
ME.MDA_N,ME.LOXIMVI,0.652813348
ME.LOXIMVI,CNS.U251,0.652290798
LC.NCI_H23,CNS.SF_295,0.652284907
PR.PC_3,CO.KM12,0.652270037
LC.NCI_H23,CNS.SF_268,0.65205236
OV.OVCAR_3,BR.MCF7,0.652022883
ME.UACC_62,ME.LOXIMVI,0.651950812
ME.UACC_62,CNS.SNB_19,0.651925314
ME.LOXIMVI,CNS.SNB_75,0.651467285
RE.786_0,OV.OVCAR_3,0.651302029
OV.SK_OV_3,CNS.SF_539,0.651048582
ME.M14,BR.BT_549,0.650606587
ME.MDA_MB_435,BR.HS578T,0.650239482
PR.DU_145,CNS.SF_295,0.649910907
RE.TK_10,CNS.SF_539,0.6492568
ME.UACC_62,CNS.SF_539,0.648760921
LC.NCI_H226,CO.HCT_116,0.648330171
OV.OVCAR_5,CNS.SF_268,0.648153447
RE.A498,ME.LOXIMVI,0.648141188
RE.786_0,LC.NCI_H460,0.648105154
RE.A498,OV.OVCAR_3,0.647987812
ME.LOXIMVI,CNS.SNB_19,0.647220746
ME.MDA_MB_435,CNS.SNB_75,0.647156181
ME.M14,CNS.SF_268,0.64713314
ME.UACC_62,BR.HS578T,0.647029892
LC.NCI_H522,LC.A549,0.646988776
OV.OVCAR_3,BR.MDA_MB_231,0.646833745
RE.TK_10,LC.NCI_H322M,0.646533092
PR.PC_3,CNS.SNB_75,0.646462857
RE.A498,ME.M14,0.645887275
PR.PC_3,CO.SW_620,0.645366268
PR.DU_145,CNS.SF_539,0.64526748
RE.ACHN,LC.NCI_H460,0.645266304
RE.TK_10,LC.NCI_H460,0.644547987
OV.OVCAR_5,BR.BT_549,0.644509713
LE.MOLT_4,LE.HL_60,0.644415063
LC.NCI_H522,BR.MCF7,0.644227097
OV.OVCAR_5,CNS.SNB_19,0.64401832
OV.OVCAR_4,BR.BT_549,0.643818634
OV.IGROV1,LC.NCI_H522,0.643624608
RE.CAKI_1,LC.NCI_H322M,0.643338296
LC.NCI_H322M,CO.SW_620,0.643198297
RE.SN12C,OV.IGROV1,0.642985307
LC.NCI_H522,CO.HCT_116,0.64294269
CO.HCT_116,CO.COLO205,0.642852025
OV.OVCAR_5,ME.LOXIMVI,0.642692756
LC.NCI_H322M,LC.NCI_H226,0.642685232
LC.NCI_H23,CNS.SNB_19,0.642467567
ME.MDA_MB_435,CNS.SF_295,0.642365829
ME.MDA_MB_435,CNS.SNB_19,0.642117081
LC.NCI_H322M,LC.NCI_H23,0.642040335
OV.NCI_ADR_RES,CNS.SNB_19,0.641986119
LC.NCI_H460,BR.BT_549,0.64189409
LC.NCI_H23,CNS.U251,0.641795384
LC.NCI_H23,CNS.SNB_75,0.641405909
OV.OVCAR_5,CNS.SF_539,0.64135807
RE.SN12C,OV.OVCAR_3,0.641208308
ME.M14,CNS.U251,0.641092348
PR.DU_145,CO.HT29,0.640959219
OV.IGROV1,LC.NCI_H322M,0.640810736
OV.IGROV1,LC.HOP_62,0.640613075
OV.OVCAR_5,BR.MCF7,0.64050482
CO.SW_620,BR.MDA_MB_231,0.639943351
RE.ACHN,ME.LOXIMVI,0.639801101
LC.NCI_H460,BR.MDA_MB_231,0.639790667
OV.IGROV1,BR.MCF7,0.63963739
ME.MDA_MB_435,CNS.SF_539,0.63961684
RE.RXF_393,LC.NCI_H460,0.63960218
ME.MDA_N,BR.HS578T,0.639298958
ME.SK_MEL_2,ME.LOXIMVI,0.639265753
ME.MDA_MB_435,CNS.U251,0.639167951
ME.M14,BR.HS578T,0.639108116
ME.SK_MEL_5,LC.NCI_H23,0.639011131
OV.OVCAR_4,CNS.SNB_75,0.638926971
LC.NCI_H23,CO.SW_620,0.638837124
OV.SK_OV_3,BR.HS578T,0.638707476
OV.OVCAR_3,CO.SW_620,0.638242456
LC.EKVX,CO.SW_620,0.638235264
OV.OVCAR_3,LC.EKVX,0.637740667
RE.ACHN,CNS.SNB_75,0.637706945
LC.NCI_H460,CNS.SF_268,0.637364495
OV.SK_OV_3,CNS.SNB_75,0.637151114
RE.TK_10,CNS.SF_295,0.637122567
LC.HOP_62,CO.SW_620,0.637096798
RE.TK_10,ME.LOXIMVI,0.637042383
RE.786_0,LC.NCI_H322M,0.637033252
PR.DU_145,ME.M14,0.636440091
RE.ACHN,BR.HS578T,0.63617552
OV.IGROV1,CO.HCC_2998,0.635899066
CO.HCC_2998,BR.T47D,0.635847511
ME.UACC_62,CNS.SF_268,0.635613618
LE.RPMI_8226,LE.HL_60,0.635586428
RE.CAKI_1,ME.M14,0.635082255
OV.OVCAR_4,LC.NCI_H460,0.635010767
LC.HOP_62,CO.HCT_15,0.634649808
RE.786_0,LC.NCI_H23,0.634645922
ME.MDA_N,CNS.SF_295,0.634641166
LC.NCI_H23,CO.HCT_15,0.634548613
ME.MDA_MB_435,BR.MDA_MB_231,0.634502974
OV.IGROV1,LC.NCI_H226,0.634352604
LC.A549,BR.MCF7,0.634348696
PR.DU_145,ME.LOXIMVI,0.634347146
OV.OVCAR_3,BR.T47D,0.634340981
ME.MDA_N,CNS.SNB_75,0.63416161
LC.NCI_H522,LC.EKVX,0.63380602
ME.M14,LC.HOP_92,0.633414739
ME.M14,BR.MDA_MB_231,0.633246675
OV.OVCAR_8,ME.M14,0.633096515
RE.RXF_393,ME.M14,0.632952422
ME.M14,LC.NCI_H226,0.632941088
OV.OVCAR_3,CO.HCC_2998,0.632757
OV.OVCAR_3,BR.BT_549,0.632713919
ME.M14,LC.NCI_H23,0.632709509
LC.A549,CNS.SF_539,0.63267525
ME.MDA_N,CNS.SNB_19,0.632568881
LC.EKVX,CNS.U251,0.63251017
CO.HCT_116,CNS.U251,0.631900037
OV.OVCAR_5,BR.HS578T,0.631517777
ME.MDA_MB_435,LC.HOP_92,0.631479055
OV.OVCAR_3,LC.NCI_H522,0.63105431
OV.OVCAR_3,LC.NCI_H226,0.630685131
OV.SK_OV_3,CO.HCC_2998,0.630589342
OV.OVCAR_4,CNS.SF_539,0.630563379
RE.ACHN,CO.HCT_15,0.630462705
OV.OVCAR_5,CNS.SNB_75,0.630273064
RE.TK_10,BR.HS578T,0.629926968
LC.NCI_H460,CNS.SNB_75,0.629862807
LC.EKVX,BR.HS578T,0.629770093
OV.OVCAR_4,CNS.SF_268,0.629735584
ME.MDA_N,CNS.SF_539,0.629470989
OV.NCI_ADR_RES,ME.M14,0.629338096
ME.SK_MEL_2,CNS.U251,0.629197537
RE.SN12C,ME.MDA_MB_435,0.629088615
LC.NCI_H460,CNS.SF_539,0.628835954
ME.SK_MEL_2,LC.HOP_62,0.628765803
ME.MDA_MB_435,LC.HOP_62,0.628489205
LC.EKVX,CO.HCC_2998,0.628240814
RE.SN12C,ME.SK_MEL_2,0.628221059
LC.HOP_92,CO.SW_620,0.627813095
OV.OVCAR_5,BR.T47D,0.627763805
RE.UO_31,LC.NCI_H460,0.627458923
OV.NCI_ADR_RES,LC.NCI_H322M,0.627346441
LC.NCI_H23,BR.T47D,0.627313129
OV.SK_OV_3,CO.SW_620,0.627021143
LC.EKVX,CNS.SNB_19,0.626931665
ME.MDA_N,LC.HOP_92,0.626905111
RE.TK_10,CO.HCC_2998,0.626861185
ME.MDA_N,BR.MDA_MB_231,0.626737464
OV.OVCAR_4,CNS.SNB_19,0.626670316
CO.HT29,BR.MDA_MB_231,0.626608203
OV.NCI_ADR_RES,CO.HCT_15,0.625931178
LC.EKVX,CNS.SF_295,0.625911604
RE.TK_10,CO.SW_620,0.62556219
OV.IGROV1,LC.NCI_H460,0.625491924
ME.MDA_MB_435,CNS.SF_268,0.62526126
LC.EKVX,CNS.SF_539,0.625092426
OV.OVCAR_8,CO.HCT_15,0.624984022
LC.A549,BR.HS578T,0.624913439
LC.NCI_H522,CNS.SF_268,0.624905955
OV.IGROV1,CNS.U251,0.624865485
RE.A498,LC.NCI_H322M,0.624664636
ME.UACC_62,LC.HOP_62,0.624626918
PR.DU_145,CNS.SNB_75,0.624474265
ME.MDA_N,CNS.U251,0.624265557
RE.786_0,ME.M14,0.624036467
ME.SK_MEL_2,CNS.SNB_75,0.623942878
OV.IGROV1,CO.KM12,0.623628742
ME.MALME_3M,LC.NCI_H23,0.623557678
LC.NCI_H460,CO.HCT_15,0.623469492
PR.PC_3,CO.HT29,0.6234122
RE.CAKI_1,CO.HCT_15,0.623001983
RE.RXF_393,CO.HCT_116,0.622847377
RE.A498,ME.UACC_62,0.62279196
RE.ACHN,ME.M14,0.622782888
ME.MALME_3M,LC.HOP_62,0.622718578
OV.OVCAR_5,ME.M14,0.622715679
OV.OVCAR_3,CNS.SNB_19,0.622697175
LC.NCI_H522,LC.HOP_62,0.622203661
ME.SK_MEL_28,ME.LOXIMVI,0.622073961
PR.DU_145,BR.HS578T,0.621908183
LC.NCI_H522,BR.BT_549,0.621670229
ME.SK_MEL_2,CNS.SF_295,0.621627117
LC.NCI_H322M,CO.COLO205,0.62160609
LC.A549,CO.KM12,0.621449521
RE.786_0,ME.MDA_MB_435,0.62139833
LC.NCI_H23,BR.HS578T,0.62138969
OV.IGROV1,LC.HOP_92,0.620552162
OV.SK_OV_3,CO.KM12,0.620390245
RE.A498,ME.MDA_MB_435,0.620286199
ME.SK_MEL_2,CNS.SF_268,0.619928883
RE.ACHN,CO.SW_620,0.619745581
ME.MDA_N,LC.HOP_62,0.619663746
LC.HOP_92,CO.HCT_15,0.619494978
ME.SK_MEL_2,CNS.SNB_19,0.619361228
OV.OVCAR_4,LC.NCI_H522,0.619238696
RE.UO_31,ME.M14,0.618970311
OV.OVCAR_3,LC.NCI_H460,0.618950593
LC.EKVX,CNS.SF_268,0.618773106
LC.NCI_H460,CO.SW_620,0.618551537
RE.SN12C,ME.MDA_N,0.61847492
ME.M14,LC.NCI_H460,0.618385924
OV.OVCAR_8,LC.NCI_H322M,0.618379575
RE.A498,CO.HCT_15,0.618359185
RE.TK_10,CNS.SNB_75,0.618155059
RE.786_0,CO.HCT_15,0.618068549
CO.KM12,BR.MCF7,0.618015601
LC.EKVX,BR.MCF7,0.617324755
OV.OVCAR_3,CNS.SF_268,0.617298045
RE.SN12C,LC.NCI_H322M,0.617191495
LC.NCI_H322M,LC.HOP_92,0.61687122
OV.SK_OV_3,LC.NCI_H522,0.616488211
OV.OVCAR_4,CO.KM12,0.616208501
CO.SW_620,BR.T47D,0.616102603
RE.SN12C,ME.SK_MEL_28,0.615880409
ME.SK_MEL_28,LC.HOP_62,0.615641991
CO.HCC_2998,BR.MDA_MB_231,0.615462781
ME.MDA_N,CNS.SF_268,0.615390942
LC.NCI_H460,BR.HS578T,0.615195154
LC.NCI_H460,CO.HCC_2998,0.615172593
ME.SK_MEL_2,LC.HOP_92,0.61500791
RE.SN12C,ME.UACC_62,0.614745783
OV.OVCAR_4,BR.HS578T,0.614508698
ME.MALME_3M,CNS.SNB_75,0.614437354
LC.EKVX,BR.T47D,0.613363089
LE.RPMI_8226,LE.MOLT_4,0.613359694
OV.NCI_ADR_RES,CO.SW_620,0.613295762
RE.RXF_393,ME.MDA_MB_435,0.613197995
RE.UO_31,LC.NCI_H322M,0.613132087
OV.OVCAR_8,CO.SW_620,0.613039684
ME.MDA_MB_435,BR.BT_549,0.612825305
RE.A498,CO.HCC_2998,0.612800135
OV.SK_OV_3,BR.MCF7,0.612360632
OV.OVCAR_5,LC.NCI_H522,0.61229327
OV.OVCAR_4,CNS.SF_295,0.61161275
LC.A549,CNS.SNB_75,0.611603867
OV.OVCAR_8,BR.MCF7,0.611594032
OV.IGROV1,CNS.SNB_19,0.611482983
RE.CAKI_1,ME.MDA_MB_435,0.611108516
RE.UO_31,CO.HCT_15,0.61089714
ME.SK_MEL_28,CNS.SNB_19,0.610739852
RE.786_0,ME.UACC_62,0.610632717
LC.NCI_H322M,CNS.U251,0.610240596
CO.HCT_116,CNS.SNB_19,0.610046539
RE.786_0,ME.MDA_N,0.609698268
LC.NCI_H522,CNS.SNB_19,0.609474164
PR.DU_145,ME.SK_MEL_28,0.609304422
ME.SK_MEL_2,BR.MDA_MB_231,0.609229784
RE.786_0,ME.SK_MEL_28,0.609200641
CO.HT29,BR.MCF7,0.609136328
ME.SK_MEL_5,CNS.SNB_19,0.608824214
OV.OVCAR_3,LC.HOP_92,0.60869106
ME.M14,LC.A549,0.608586684
LC.EKVX,CNS.SNB_75,0.608554278
ME.SK_MEL_28,CNS.SF_268,0.608446136
OV.OVCAR_3,CNS.SNB_75,0.607833494
ME.SK_MEL_5,LC.NCI_H460,0.607690523
ME.SK_MEL_28,CNS.SNB_75,0.607616843
RE.A498,ME.MDA_N,0.607301245
PR.DU_145,ME.MALME_3M,0.607227392
PR.PC_3,BR.MCF7,0.606980651
CO.HT29,BR.T47D,0.606962826
RE.TK_10,ME.M14,0.606814003
PR.PC_3,ME.M14,0.606681134
OV.OVCAR_3,CO.HT29,0.606425494
LC.NCI_H460,BR.MCF7,0.606171365
RE.UO_31,CO.SW_620,0.605362489
ME.LOXIMVI,LC.NCI_H23,0.605355543
ME.LOXIMVI,LC.NCI_H460,0.605164713
RE.TK_10,CO.HT29,0.605118287
CO.KM12,BR.MDA_MB_231,0.605113525
OV.NCI_ADR_RES,BR.MCF7,0.605107558
CO.COLO205,BR.MCF7,0.604668516
ME.MALME_3M,LC.HOP_92,0.60448869
RE.A498,ME.SK_MEL_28,0.604318085
OV.IGROV1,BR.BT_549,0.60424239
OV.NCI_ADR_RES,ME.SK_MEL_2,0.604131203
PR.PC_3,BR.T47D,0.604043609
OV.SK_OV_3,BR.T47D,0.603889646
RE.TK_10,BR.MCF7,0.603581937
OV.OVCAR_8,ME.SK_MEL_2,0.603451607
LC.A549,CO.HT29,0.603327538
RE.TK_10,CO.KM12,0.603307128
RE.ACHN,LC.NCI_H322M,0.60328468
RE.CAKI_1,CO.SW_620,0.603134282
ME.SK_MEL_28,CNS.SF_295,0.603010636
ME.UACC_257,CNS.SNB_75,0.602922565
RE.CAKI_1,ME.UACC_62,0.602840301
ME.SK_MEL_28,CNS.U251,0.602571499
ME.SK_MEL_28,LC.NCI_H23,0.602404537
ME.UACC_62,LC.HOP_92,0.602214734
OV.SK_OV_3,ME.LOXIMVI,0.601800207
OV.OVCAR_5,ME.MALME_3M,0.60165068
ME.UACC_62,BR.BT_549,0.601222803
ME.UACC_62,LC.NCI_H460,0.601136898
OV.SK_OV_3,CO.HT29,0.601120069
RE.RXF_393,ME.MDA_N,0.600848844
ME.UACC_62,LC.NCI_H23,0.600128604
LC.NCI_H522,LC.NCI_H460,0.600044264
ME.MDA_N,BR.BT_549,0.600025743
ME.UACC_257,LC.HOP_62,0.599743561
ME.SK_MEL_2,BR.HS578T,0.599723036
OV.OVCAR_3,CNS.SF_539,0.599696641
ME.SK_MEL_28,CNS.SF_539,0.599559397
OV.IGROV1,CNS.SF_268,0.599460389
CO.KM12,BR.T47D,0.599456875
RE.UO_31,ME.MDA_MB_435,0.599365565
CO.HCT_116,CNS.SF_295,0.599043858
OV.OVCAR_3,CNS.SF_295,0.599040296
ME.LOXIMVI,CO.HCT_116,0.598603979
ME.M14,CO.HCT_116,0.59830785
RE.TK_10,LC.NCI_H522,0.598217166
LC.NCI_H226,CO.HCT_15,0.598172126
OV.IGROV1,BR.T47D,0.59803001
ME.SK_MEL_28,BR.MDA_MB_231,0.598015563
BR.T47D,BR.MDA_MB_231,0.598011527
ME.MALME_3M,BR.MDA_MB_231,0.597856496
RE.CAKI_1,ME.SK_MEL_28,0.597636501
RE.CAKI_1,ME.MDA_N,0.597547185
RE.CAKI_1,CO.HCC_2998,0.597401829
RE.786_0,ME.SK_MEL_2,0.597388765
PR.DU_145,ME.SK_MEL_5,0.597295534
ME.SK_MEL_2,CNS.SF_539,0.59720173
LC.A549,BR.T47D,0.597107709
OV.SK_OV_3,ME.M14,0.59681798
OV.OVCAR_3,CO.KM12,0.596689666
OV.NCI_ADR_RES,ME.UACC_62,0.596641065
RE.ACHN,CO.HCC_2998,0.596385959
RE.CAKI_1,CO.HT29,0.596381459
LC.NCI_H522,CNS.U251,0.596378783
RE.TK_10,ME.MDA_MB_435,0.596273547
PR.DU_145,ME.MDA_MB_435,0.596123605
ME.UACC_62,BR.MDA_MB_231,0.596086205
RE.RXF_393,ME.UACC_62,0.595988637
LE.SR,LE.RPMI_8226,0.595824463
LE.RPMI_8226,LE.CCRF_CEM,0.59562579
ME.LOXIMVI,LC.A549,0.595511387
OV.OVCAR_8,ME.UACC_62,0.595362927
RE.SN12C,CO.HCT_15,0.595296667
PR.PC_3,ME.UACC_62,0.595133245
ME.SK_MEL_5,LC.HOP_62,0.595000976
LC.NCI_H522,LC.NCI_H226,0.594952234
PR.PC_3,ME.MDA_MB_435,0.594902189
OV.OVCAR_4,ME.M14,0.594777083
BR.MDA_MB_231,BR.MCF7,0.594669947
OV.OVCAR_8,ME.SK_MEL_28,0.594636297
PR.DU_145,ME.SK_MEL_2,0.594336039
OV.NCI_ADR_RES,ME.SK_MEL_28,0.594244416
LC.HOP_62,CO.HT29,0.594211053
RE.CAKI_1,LC.NCI_H522,0.594165177
ME.SK_MEL_5,ME.LOXIMVI,0.593524854
OV.OVCAR_5,ME.UACC_62,0.593425313
PR.DU_145,ME.MDA_N,0.593245387
LC.NCI_H522,CO.SW_620,0.592990267
RE.RXF_393,CO.HCT_15,0.592878124
ME.MALME_3M,CNS.SNB_19,0.592531118
LC.NCI_H23,CO.HCC_2998,0.592504117
ME.MALME_3M,CNS.U251,0.592290454
RE.SN12C,ME.SK_MEL_5,0.592152273
CO.HCT_116,CNS.SF_268,0.592117157
OV.OVCAR_5,ME.MDA_MB_435,0.591862945
RE.UO_31,ME.SK_MEL_28,0.591841296
ME.SK_MEL_5,LC.A549,0.591813473
LC.HOP_92,CO.HT29,0.591717732
CO.HCT_116,BR.BT_549,0.591618623
RE.786_0,CO.SW_620,0.591583827
ME.SK_MEL_5,CO.HCT_116,0.59129406
LC.NCI_H522,BR.MDA_MB_231,0.591117126
LC.NCI_H522,CNS.SF_539,0.590997985
RE.SN12C,ME.MALME_3M,0.590835921
ME.UACC_257,CNS.SNB_19,0.590796887
ME.SK_MEL_5,CNS.SF_295,0.589844101
LE.SR,LE.HL_60,0.58983312
RE.ACHN,ME.MDA_MB_435,0.589650465
ME.SK_MEL_5,CNS.U251,0.589611589
PR.DU_145,ME.UACC_62,0.589582574
RE.UO_31,LC.NCI_H522,0.58956099
RE.RXF_393,ME.SK_MEL_28,0.58954235
LC.EKVX,CO.HT29,0.589517179
LC.A549,CO.COLO205,0.58935015
RE.CAKI_1,ME.SK_MEL_2,0.589331468
ME.UACC_257,ME.LOXIMVI,0.589323181
RE.ACHN,LC.NCI_H522,0.589279296
RE.UO_31,CO.HT29,0.589134653
RE.ACHN,ME.MALME_3M,0.589082637
LC.NCI_H322M,CNS.SNB_19,0.588853494
PR.PC_3,LC.NCI_H522,0.58873534
ME.UACC_257,CNS.U251,0.58828944
OV.OVCAR_5,ME.SK_MEL_2,0.588256421
PR.DU_145,CO.COLO205,0.588065834
RE.TK_10,ME.MDA_N,0.587931089
ME.LOXIMVI,LC.EKVX,0.587427445
OV.OVCAR_5,ME.MDA_N,0.587312913
RE.A498,ME.SK_MEL_5,0.58728286
RE.ACHN,ME.SK_MEL_28,0.587278392
ME.MDA_MB_435,LC.NCI_H460,0.586893457
RE.A498,ME.SK_MEL_2,0.586688744
RE.SN12C,CO.SW_620,0.586534812
OV.IGROV1,ME.M14,0.586342884
ME.MALME_3M,CO.HCT_116,0.586321926
ME.SK_MEL_28,BR.BT_549,0.585952159
OV.OVCAR_8,ME.MDA_MB_435,0.585950153
ME.M14,LC.EKVX,0.585921144
RE.A498,CO.SW_620,0.585790136
ME.SK_MEL_5,CNS.SF_268,0.58531592
ME.MDA_N,LC.NCI_H460,0.58530722
RE.UO_31,ME.MDA_N,0.585189556
LC.EKVX,CO.KM12,0.58510669
OV.OVCAR_5,ME.SK_MEL_28,0.584988682
OV.NCI_ADR_RES,ME.MDA_MB_435,0.584918516
LC.HOP_62,CO.HCC_2998,0.584778353
ME.UACC_257,LC.NCI_H23,0.584707699
ME.MALME_3M,LC.NCI_H460,0.584549593
PR.PC_3,ME.MDA_N,0.58446305
ME.SK_MEL_5,CNS.SNB_75,0.584091092
RE.RXF_393,ME.SK_MEL_2,0.584027171
RE.UO_31,ME.MALME_3M,0.583976478
ME.SK_MEL_28,BR.HS578T,0.583882452
OV.OVCAR_8,ME.MALME_3M,0.583669751
RE.UO_31,ME.UACC_62,0.583593369
LC.HOP_92,CO.HCC_2998,0.583326743
ME.MALME_3M,CNS.SF_539,0.58327051
RE.RXF_393,ME.MALME_3M,0.583234666
LC.NCI_H522,CO.HCT_15,0.583193605
OV.OVCAR_4,CO.COLO205,0.583119722
OV.NCI_ADR_RES,ME.SK_MEL_5,0.582864831
RE.UO_31,CO.HCC_2998,0.582719967
RE.TK_10,ME.SK_MEL_28,0.582604434
ME.SK_MEL_2,LC.NCI_H226,0.582520484
ME.UACC_257,CNS.SF_539,0.582515918
ME.SK_MEL_28,LC.NCI_H226,0.582488594
RE.SN12C,ME.UACC_257,0.582151142
ME.MALME_3M,LC.NCI_H226,0.582124689
RE.RXF_393,LC.NCI_H322M,0.581865047
LC.HOP_62,BR.T47D,0.58181603
LC.HOP_62,BR.MCF7,0.581768857
RE.ACHN,CO.HT29,0.58159232
ME.SK_MEL_28,LC.HOP_92,0.58129159
RE.CAKI_1,ME.MALME_3M,0.58105323
ME.MALME_3M,CNS.SF_268,0.580979931
OV.NCI_ADR_RES,CO.HCC_2998,0.580930259
ME.UACC_257,CNS.SF_268,0.580710438
LC.HOP_92,CO.KM12,0.580680993
RE.786_0,CO.KM12,0.579909236
RE.RXF_393,CO.SW_620,0.579767429
RE.ACHN,CO.KM12,0.579733447
OV.OVCAR_8,ME.MDA_N,0.579603892
RE.A498,BR.MCF7,0.579596878
RE.TK_10,BR.T47D,0.579580965
OV.NCI_ADR_RES,ME.MALME_3M,0.579041884
ME.UACC_257,CNS.SF_295,0.579005282
OV.NCI_ADR_RES,BR.T47D,0.5788508
LC.NCI_H522,BR.T47D,0.578844838
CO.HCT_116,CNS.SF_539,0.578556276
ME.MDA_MB_435,LC.NCI_H23,0.578322892
ME.UACC_62,LC.NCI_H226,0.578234422
ME.SK_MEL_28,LC.NCI_H460,0.57815453
LC.NCI_H322M,BR.BT_549,0.5775986
OV.OVCAR_8,BR.T47D,0.577581396
OV.OVCAR_4,ME.MALME_3M,0.577441422
OV.NCI_ADR_RES,ME.MDA_N,0.577247328
LC.NCI_H322M,CNS.SF_268,0.577146969
RE.TK_10,ME.SK_MEL_2,0.576987375
LC.HOP_62,CO.KM12,0.576911793
OV.OVCAR_5,ME.SK_MEL_5,0.576893957
RE.UO_31,ME.SK_MEL_2,0.57679405
LE.K_562,LE.HL_60,0.576788639
ME.MDA_MB_435,LC.NCI_H226,0.576745545
ME.MDA_N,LC.NCI_H23,0.576503596
OV.OVCAR_8,ME.SK_MEL_5,0.576399095
RE.786_0,CO.HT29,0.576223589
RE.ACHN,BR.MCF7,0.575773623
OV.IGROV1,CO.HT29,0.575763021
RE.ACHN,ME.MDA_N,0.575619302
RE.CAKI_1,CO.KM12,0.57550928
OV.OVCAR_8,ME.UACC_257,0.574875714
LE.SR,LE.MOLT_4,0.574802496
OV.NCI_ADR_RES,ME.UACC_257,0.574542236
ME.UACC_62,LC.A549,0.57447743
RE.ACHN,ME.UACC_62,0.574458662
OV.IGROV1,CNS.SF_295,0.574400327
LC.NCI_H522,CNS.SF_295,0.574332944
ME.MALME_3M,LC.A549,0.574213256
ME.SK_MEL_2,BR.BT_549,0.574138361
LE.SR,LE.CCRF_CEM,0.573715428
OV.IGROV1,BR.HS578T,0.57339002
RE.786_0,CO.HCC_2998,0.573349322
ME.SK_MEL_5,LC.NCI_H522,0.573157205
OV.OVCAR_4,ME.MDA_MB_435,0.572988947
RE.A498,ME.MALME_3M,0.572987837
CO.COLO205,BR.T47D,0.572642336
ME.SK_MEL_5,CNS.SF_539,0.572306639
LC.NCI_H522,LC.NCI_H322M,0.572242309
ME.SK_MEL_28,LC.A549,0.57206828
RE.CAKI_1,BR.MCF7,0.571907725
OV.OVCAR_8,CO.HCC_2998,0.571841867
RE.RXF_393,LC.NCI_H522,0.571838419
OV.IGROV1,CNS.SNB_75,0.571823128
RE.ACHN,BR.T47D,0.571592031
OV.OVCAR_3,BR.HS578T,0.571548971
OV.IGROV1,ME.SK_MEL_5,0.571471393
RE.TK_10,ME.UACC_62,0.571149779
OV.OVCAR_5,ME.UACC_257,0.570802472
OV.IGROV1,ME.MDA_MB_435,0.570695743
LC.NCI_H522,LC.HOP_92,0.570485473
RE.CAKI_1,ME.SK_MEL_5,0.570337266
OV.IGROV1,CNS.SF_539,0.570289191
RE.CAKI_1,BR.T47D,0.570247006
ME.UACC_257,BR.HS578T,0.570146022
OV.SK_OV_3,ME.MDA_MB_435,0.569923329
ME.MDA_N,LC.NCI_H226,0.569824756
LE.RPMI_8226,CO.SW_620,0.569810967
RE.ACHN,ME.SK_MEL_5,0.569603622
PR.PC_3,ME.SK_MEL_2,0.569464969
LC.NCI_H460,BR.T47D,0.569420453
LC.NCI_H522,CNS.SNB_75,0.569419998
PR.PC_3,ME.SK_MEL_28,0.569153408
ME.UACC_257,BR.MDA_MB_231,0.568801281
LC.NCI_H226,CO.HCC_2998,0.568746085
OV.IGROV1,ME.UACC_62,0.568645089
OV.IGROV1,ME.MALME_3M,0.568642187
RE.A498,CO.KM12,0.568420818
RE.A498,ME.UACC_257,0.568274722
RE.ACHN,ME.SK_MEL_2,0.567958827
OV.IGROV1,ME.SK_MEL_28,0.567390077
RE.UO_31,CO.KM12,0.567317
RE.CAKI_1,ME.UACC_257,0.567237972
ME.MALME_3M,CNS.SF_295,0.56707088
LC.HOP_92,BR.MCF7,0.566980941
RE.TK_10,ME.MALME_3M,0.566960958
LC.HOP_92,BR.T47D,0.566831326
ME.SK_MEL_2,LC.NCI_H23,0.566685936
OV.OVCAR_3,ME.M14,0.566641809
ME.MALME_3M,BR.HS578T,0.56658016
LC.NCI_H460,CO.KM12,0.566350053
CO.HCT_116,CNS.SNB_75,0.56634723
RE.786_0,ME.MALME_3M,0.566263148
ME.SK_MEL_28,CO.HCT_116,0.566238469
